length,width
2.67375115674,1.07853129519
3.57065164527,1.0801069165
2.59418769615,1.37295222764
3.12916343527,1.36718914228
3.37035776484,1.48262343271
4.17916126967,1.21201608948
2.54838300867,1.26250642575
3.4720261759,1.32066770741
3.22017577038,1.21778501428
3.28757384629,1.4741999621
3.37530840277,1.20900623312
2.31745678998,1.09692218575
1.96787576304,1.28482804666
2.51022607932,1.15597333174
2.96650333371,1.06823599005
3.17118759585,1.41001914422
3.77600322766,1.24781214477
3.45481451781,1.28399997256
1.69369138096,1.10437713018
3.28657111182,1.09885270566
1.89324578928,1.34106902102
2.6441703823,1.61352698373
2.22859461055,1.44596495906
2.63705773037,1.57489530309
3.82164500471,1.20017024412
2.69821508684,1.18158068997
2.72946148168,1.49806745193
2.94588443233,1.23027707313
3.63953749881,1.24553662637
3.42826619777,1.18539016454
2.09531664996,1.04582139805
3.23374324297,1.31093506878
2.76269697313,1.2697749639
3.64076097614,1.07924474398
2.68436079827,1.09856170906
2.85901383202,1.16667494225
3.74379897888,1.20856268639
3.66398053221,1.29487538895
2.86667497302,1.20648104372
2.63044027788,1.03521943409
3.49496061495,1.27006874489
2.19606676433,1.26398149105
2.99969209452,1.16073791956
2.85434108812,1.10256769425
3.51626198719,1.48041519976
2.57265396456,1.06921282509
2.89273130243,1.40731970363
3.71463800317,1.33426525935
2.78477799215,1.58163768589
2.06235967876,1.26126870033
3.19560392391,1.22184134217
3.47808706073,1.45131642566
3.21227825745,1.23955259832
2.60040998084,1.40266219139
3.48814148579,1.15346618407
2.69075354993,1.55956993582
3.2605008571,1.03664883208
2.68933055742,1.08246949364
2.52601937928,1.21491527683
3.52292534465,1.18606263344
3.37114941498,1.29437930863
2.78639160709,1.15767290097
2.4672973008,1.56869214057
2.35450783497,1.5903336236
2.73842429736,1.10832509239
4.23580674572,1.39438368336
2.69726684607,1.39971505119
2.51475271962,1.39804961072
2.33124061606,1.32531285611
2.76841094992,1.1457915741
2.87063891973,1.25852270519
4.20434595296,1.49647753
3.55612840906,1.3245727389
3.23821532148,1.27502578641
2.75561796002,1.43626458581
2.9979661796,1.48106756917
3.04304997917,1.29641859209
3.36526263558,1.28679163745
3.58217120337,1.44767052778
3.45584061187,1.26233675749
3.0012097213,1.30962033478
3.30023065138,1.21657545013
3.8633111077,1.57991480998
1.59178791923,1.21683448542
3.45438491749,1.46424451511
3.75131968565,1.44816023582
2.69077259042,1.09956678438
2.5697901774,1.17524980811
3.88301491796,1.55106194488
3.60346799848,1.20753541343
2.56363989825,1.46163594916
2.96887035472,1.11583201932
2.92537582978,1.22726125617
3.05855080264,1.32710167283
3.63416511416,1.19180455949
2.5546183977,1.22716305663
2.92233949135,1.43082010037
2.65207743255,1.21153482359
2.35151764938,1.33655056423
2.54859193593,1.42138458306
3.45511846824,1.31867833069
2.33774089421,1.45963859495
2.92221629226,1.21419358689
3.17622507625,1.43778916862
3.02058204278,1.44209038341
3.09734723145,1.39716988475
3.44707008579,1.2187654148
2.33261401296,1.25791296878
2.76226205306,1.12235926543
2.95306741195,1.09649425606
2.6739549811,1.30123995452
2.89637183538,1.21969753835
3.34437341928,1.36201032156
2.70066743595,1.23551602592
3.31498301206,1.53266674
3.6778717386,1.43065873617
2.67865187787,1.34518783254
3.38163142463,1.04726661924
2.67647020723,1.16010710004
4.50822164655,1.23446209291
3.3235335685,1.15117915566
3.27992337831,1.4755374539
3.40381619155,1.36654536662
2.88341698098,1.21300371509
3.53486437287,1.13943653504
3.17822807945,1.16143321008
2.35271248216,1.2349381892
3.22385798322,1.28105744286
2.50259986713,1.19945915342
4.03622722549,1.2779277675
2.25497645398,1.61612402553
2.43309183074,1.37631152711
2.91175978366,1.32403742728
3.13588627272,1.30026499473
3.51899525136,1.25824988179
3.43198742411,1.35487383534
2.63615191837,1.27600777927
3.35399141888,1.15009389348
3.17062908638,1.41266282035
3.7049250649,1.30144475316
3.04186754185,1.29002441113
3.4802294985,1.64236953014
3.44324928582,1.31227999355
2.71629301815,1.74913257474
3.14334103891,1.46772088564
4.04256581016,1.29335075299
3.01623123811,1.23459001406
2.18063935485,1.14107270029
3.27690434382,1.23004333165
2.80597271316,1.13116149797
2.77798368779,1.32504547106
3.65056591476,1.44682081647
2.75922945968,1.45236339424
3.99852145386,1.49113895387
3.13599109568,1.20563023744
2.75199208329,1.07959964648
3.08914748529,1.18140345805
3.30340984836,1.31622306788
2.34540042856,1.19614651009
2.50822517604,1.14956728182
2.5457115928,1.30768279773
3.44417912781,1.23489434975
2.33670046897,1.02048231993
2.622569114,1.057876775
3.48063575855,1.42840451142
2.99014537324,1.74098750137
3.39744208427,1.4651552149
3.01504885425,1.13598831476
3.15771334631,1.43979972033
2.44904578239,1.12343102524
2.57947451608,1.26144198008
3.70176026076,1.09944653918
2.78677258484,1.17434382295
2.81877164426,1.472199346
2.95588909185,1.11753588002
1.47090937591,1.26902268055
2.36221674017,1.31028420392
2.08210423302,1.02801854155
2.54526510834,1.44412551817
3.14730021673,1.34410217353
3.43409996346,1.14715934196
3.21593385065,1.46354683556
3.06105909129,1.11665733585
2.87488027978,1.53300465103
3.16680653598,1.30753416168
3.33852187496,1.59830799478
2.71551717028,1.38164454097
3.50004121688,1.38021579043
2.30253446681,1.44032659525
3.54620076268,1.19389070192
2.70072220362,1.10289791854
2.64046748442,1.18455359957
3.36456686013,1.03442101262
2.70867810287,1.39755263412
3.86940422185,1.22116516767
2.83891210106,1.21015377636
3.23252395794,1.09539914004
2.44869757973,1.43400867437
2.98921097102,1.20561327847
3.14475890344,1.26532913133
2.93914700093,1.27998168871
2.94805366192,1.37457995908
2.39713144496,1.34206805854
2.89521090131,1.14251291447
3.12966943707,1.44655758828
2.69266654154,1.24490380671
